Name,Base,Snippet,PopupInfo,x,y
Croissant Rouge Algérien,0.0,,,5.0570074,36.747912
Salle des Fêtes El Fourouh,0.0,,,4.2836222,36.6830478
Salle des fêtes Eden Park,0.0,,,4.2913657,36.6821466
مركز الراحة للمجاهدين,0.0,,,8.4243568,36.8953604
Salle des fêtes El Afrah,0.0,,,2.8888947,36.7583638
مركب رياضي الجواري بعين ماضي,0.0,,,2.3077857,33.7975732
Maison de jeunes,0.0,,,4.7737228,36.6156147
Salle des fêtes Hôtel Ziri,0.0,,,-1.8742609,35.0962113
Salle des fêtes Nouara,0.0,,,3.2480049,36.7767779
Salle des fêtes El Moustaqbil,0.0,,,6.5905801,36.261094
Placemark,0.0,,,7.1317733,35.8726852
Maison de jeunes,0.0,,,6.7435029,35.3187344
Maison de jeunes,0.0,,,4.525843,36.4581079
Salle des fêtes El Yasmine,0.0,,,3.290431,36.6974491
Salle des fêtes Lemat Lahbab,0.0,,,3.0714315,36.7035807
المركز الثقافي و دار الشباب,0.0,,,2.8229704,36.5377871
حي بلغويني,0.0,,,1.4927283,35.1779138
المرحلة الثالثة,0.0,,,1.4998443,35.1802652
البناء الجاهز,0.0,,,1.4972437,35.1765765
عمارات الولاية,0.0,,,1.4945649,35.1745743
حي كاسطور,0.0,,,1.4951141,35.1796549
الجمعية الثقافية عبد الحميد بن باديس,0.0,,,4.3757206,35.9267748
دار الشباب 11 ديسمبر 1960,0.0,,,5.4393829,36.1938246
Salle des fêtes Dar El Djoudi,0.0,,,3.0141886,36.778966
المركز الترفيهي العلمي,0.0,,,-0.1899269,35.5332389
salle des fêtes,0.0,,,2.85517,36.7522417
حي 109 مسكن,0.0,,,4.7753492,36.0761996
Salle des fêtes Al Yasmine,0.0,,,4.0481642,36.7186255
Binakli,0.0,,,3.9602511,36.5443491
قاعة الحفلات ربيحة,0.0,,,2.9280683,36.76125
Maison de jeunes de Birkhadem,0.0,,,3.0453924,36.7154768
مسجد العتيق,0.0,,,1.1096461,34.9111536
Placemark,0.0,,,1.8177274,35.6076918
الجمعية الخيرية كافل اليتيم الوطنية,0.0,,,1.909045,27.1105386
بيت الشباب بوغراري محمد,0.0,,,2.479646,27.1968992
إقامة جامعية 3,0.0,,,5.4465565,36.2171137
المركب الرياضي الجواري لخرايف أحمد,0.0,,,1.9046494,27.0982488
Complexe omnisport,0.0,,,0.3258862,36.1006422
Maison de jeunes,0.0,,,2.9161106,36.5700159
قاعة متعددة النشاطات,0.0,,,5.8451096,35.0690029
Salle Restaurant Traiteur Younes,0.0,,,3.0758512,36.694392
Placemark,0.0,,,5.4039323,36.1895222
Placemark,0.0,,,-0.6199562,35.6457829
Salle des fêtes Ennakhil,0.0,,,6.69082,36.3045233
مسجد علي بن ابي طالب,0.0,,,5.4135568,36.4377767
قاعة محمد بوراس,0.0,,,1.9093047,27.1072296
Placemark,0.0,,,8.0393687,36.1663742
Salle des fêtes,0.0,,,2.8595553,36.7522686
Cité Ouazar,0.0,,,4.2031884,36.5147583
دار الشباب بادي محمد,0.0,,,5.5596654,35.4384548
Placemark,0.0,,,6.6218425,36.306601
Salle des fêtes Karkache,0.0,,,-0.2717347,35.8010877
مركز التكوين المهني والتمهين ماوكلان,0.0,,,5.0773446,36.3960665
ONDA,0.0,,,-0.6433068,35.7012281
Salle des fêtes SAIDI,0.0,,,-0.2797019,35.8111687
R T O,0.0,,,-0.2728686,35.8085154
SORFERT,0.0,,,-0.2710927,35.8065836
M I P,0.0,,,-0.2747845,35.807983
قاعة الحفلات غاني بيش,0.0,,,2.9299402,36.8056567
APC,0.0,,,0.5889923,35.6042255
Complèxe sportif,0.0,,,2.4547683,35.8284709
Hai M'haissar,0.0,,,2.7616806,35.8858127
محافظة الكشافة الإسلامية الجزائرية,0.0,,,7.1259369,35.8770363
جمعية العلماء المسلمين الجزائريين,0.0,,,0.5565252,35.7297927
Cite 50 logts,0.0,,,6.3874807,35.8952729
بلدية بوزوران,0.0,,,6.1962411,35.5627518
Mairie de Ben Azzouz,0.0,,,7.2937854,36.8606784
بلدية وادي النجاء,0.0,,,6.1201691,36.4277819
Centre de Staih,0.0,,,4.1791174,35.2083928
Maison des jeunes,0.0,,,2.9946656,36.5297477
Salle des Fêtes,0.0,,,7.2959655,36.8607502
فرقة الزرازرية,0.0,,,2.9406478,36.2417054
دار الشباب,0.0,,,0.2250784,29.2482742
Salle des fêtes Yassa,0.0,,,2.846531,36.4858114
le 8eme,0.0,,,7.716314,36.9278773
edough,0.0,,,7.6632296,36.9064595
Placemark,0.0,,,2.3144019,35.2202152
Salle des fêtes,0.0,,,1.9723371,36.2624302
Salle des fêtes -cycliste-,0.0,,,1.9778355,36.2633702
قاعة الحفلات - معزوزي -,0.0,,,1.9618199,36.2586016
Salle des fêtes Elhadj El Arbi,0.0,,,1.9743368,36.2662908
قاعة حفلات,0.0,,,2.0542026,36.575231
Placemark,0.0,,,0.2947388,35.9974623
قاعة الأفراح بابيلون,0.0,,,7.7262159,36.8889965
دار البلدية,0.0,,,5.3748514,35.6861658
دار الشباب,0.0,,,2.0965999,34.1129094
Assurance CAAR,0.0,,,3.2807163,36.7362572
دوار المعارفية,0.0,,,0.9553166,35.9237031
Village Sidi Mejdoub,0.0,,,0.0665470000001,35.8504878
THAGOURTH TEZGUI,0.0,,,4.4166407,36.5106405
Sotramo,0.0,,,-0.2767823,35.8098083
Cité 129logts tounsi foubourg,0.0,,,-1.1372647,35.2919525
Ligue de football de wilaya,0.0,,,0.0905248,35.9319745
Croissant rouge,0.0,,,0.0868791,35.9314396
Salle des fêtes Massaya,0.0,,,0.0684183000001,35.8836593
Cité des 50 Logements,0.0,,,4.0428874,36.2519893
Salle polyvalente (Ahl el ksar),0.0,,,4.0430107,36.2516516
Salle Omnisports,0.0,,,5.9955345,35.8602353
مجمع الشباب,0.0,,,3.3106496,36.4137372
مقر بلدية قاوس,0.0,,,5.8115039,36.7715308
الفرع البلدي بوعفرون,0.0,,,5.9071254,36.6897918
Salle des fêtes Warda El Djazairia,0.0,,,-0.6234027,35.702218
marche de la volontariat.,0.0,,,7.4252776,36.4659302
Placemark,0.0,,,5.986264,36.1100567
Placemark,0.0,,,7.5337409,36.3671963
Placemark,0.0,,,2.8584926,36.7518071
Placemark,0.0,,,6.6222305,36.3116286
Centre des loisirs scientifiques de Blida,0.0,,,2.8310213,36.4734183
دار البلدية,0.0,,,5.9864507,36.1223658
Maison de jeunes,0.0,,,4.0072387,36.5947761
